hex_id,hex_code
8849821a2bfffff,HEX-00667
8849821a2dfffff,HEX-00668
8849821a31fffff,HEX-00669
8849821a33fffff,HEX-00670
8849821a35fffff,HEX-00671
8849821a37fffff,HEX-00672
8849821a39fffff,HEX-00673
8849821a3bfffff,HEX-00674
8849821a3dfffff,HEX-00675
8849821a41fffff,HEX-00676
8849821a43fffff,HEX-00677
8849821a45fffff,HEX-00678
8849821a47fffff,HEX-00679
8849821a49fffff,HEX-00680
8849821a4bfffff,HEX-00681
8849821a4dfffff,HEX-00682
8849821a51fffff,HEX-00683
8849821a53fffff,HEX-00684
8849821a55fffff,HEX-00685
8849821a57fffff,HEX-00686
8849821a59fffff,HEX-00687
8849821a5bfffff,HEX-00688
8849821a5dfffff,HEX-00689
8849821a61fffff,HEX-00690
8849821a63fffff,HEX-00691
8849821a65fffff,HEX-00692
8849821a67fffff,HEX-00693
8849821a69fffff,HEX-00694
8849821a6bfffff,HEX-00695
8849821a6dfffff,HEX-00696
8849821a81fffff,HEX-00697
8849821a83fffff,HEX-00698
8849821a85fffff,HEX-00699
8849821a87fffff,HEX-00700
8849821a89fffff,HEX-00701
8849821a8bfffff,HEX-00702
8849821a8dfffff,HEX-00703
8849821a91fffff,HEX-00704
8849821a93fffff,HEX-00705
8849821a95fffff,HEX-00706
8849821a97fffff,HEX-00707
8849821a99fffff,HEX-00708
8849821a9bfffff,HEX-00709
8849821a9dfffff,HEX-00710
8849821aa1fffff,HEX-00711
8849821aa3fffff,HEX-00712
8849821aa5fffff,HEX-00713
8849821aa7fffff,HEX-00714
8849821aa9fffff,HEX-00715
8849821aabfffff,HEX-00716
8849821aadfffff,HEX-00717
8849821ab1fffff,HEX-00718
8849821ab3fffff,HEX-00719
8849821ab5fffff,HEX-00720
8849821ab9fffff,HEX-00721
8849821abbfffff,HEX-00722
8849821abdfffff,HEX-00723
8849821ac1fffff,HEX-00724
8849821ac3fffff,HEX-00725
8849821ac5fffff,HEX-00726
8849821ac7fffff,HEX-00727
8849821ac9fffff,HEX-00728
8849821acbfffff,HEX-00729
8849821acdfffff,HEX-00730
8849821ad1fffff,HEX-00731
8849821ad3fffff,HEX-00732
